Nord;;Centre-Nord;;Centre-South;;South;;Sicily;;Sardi;
GT1BZNWS ACT 24AV Index;;GT1BCNWS ACT 24AV Index;;GT1BCSWS ACT 24AV Index;;GT1BZSWS ACT 24AV Index;;GT1BSIWS ACT 24AV Index;;GT1BSAWS ACT 24AV Index;
Date;KWh (daily average);Date;KWh (daily average);Date;KWh (daily average);Date;KWh (daily average);Date;KWh (daily average);Date;KWh (daily average)
03/01/2015;42,5;03/01/2015;23,3;02/01/2015;288,8;02/01/2015;1184,3;02/01/2015;355,1;03/01/2015;597,7
04/01/2015;50,2;04/01/2015;42,1;03/01/2015;558,6;03/01/2015;1480,4;03/01/2015;485,8;04/01/2015;552,5
05/01/2015;45,4;05/01/2015;39,7;04/01/2015;568,8;04/01/2015;1568,3;04/01/2015;932,2;05/01/2015;197,7
06/01/2015;29,2;06/01/2015;27,2;05/01/2015;587,6;05/01/2015;1911,5;05/01/2015;975,3;06/01/2015;152,3
07/01/2015;4,8;07/01/2015;4,5;06/01/2015;244,2;06/01/2015;1300,5;06/01/2015;717,1;07/01/2015;91,9
08/01/2015;6,5;08/01/2015;9,4;07/01/2015;17;07/01/2015;220,9;07/01/2015;58,4;08/01/2015;180
09/01/2015;29,7;09/01/2015;26,6;08/01/2015;38,6;08/01/2015;114,5;08/01/2015;65;09/01/2015;551,6
10/01/2015;52,5;10/01/2015;33,8;09/01/2015;336,9;09/01/2015;815,6;09/01/2015;303,7;10/01/2015;583,9
11/01/2015;66,8;11/01/2015;49,9;10/01/2015;764,4;10/01/2015;1962,2;10/01/2015;589,8;11/01/2015;492,3
12/01/2015;28,9;12/01/2015;18,3;11/01/2015;932,3;11/01/2015;2343,1;11/01/2015;589,5;12/01/2015;73,8
13/01/2015;25,6;13/01/2015;14,5;12/01/2015;267,5;12/01/2015;955;12/01/2015;546,9;13/01/2015;29,4
14/01/2015;30,7;14/01/2015;27,4;13/01/2015;288,6;13/01/2015;798,2;13/01/2015;121,4;14/01/2015;119,9
15/01/2015;28,4;15/01/2015;25,1;14/01/2015;500,8;14/01/2015;1149,5;14/01/2015;162,3;15/01/2015;120,8
16/01/2015;37,8;16/01/2015;51,4;15/01/2015;277,4;15/01/2015;833,1;15/01/2015;239,3;16/01/2015;195
